iso3,country_name,basel_score,corruption_control,rule_of_law,govt_effectiveness,regulatory_quality,cpi_score,bank_branches_per100k,financial_account_pct,gdp_per_capita,gdp_log
IRL,IRELAND,4.01,23.4420418739319,21.3793436288833,21.6839592456817,22.9538514614105,77.0,13.3881373826628,99.6633988421918,105190.685952731,11.563530038795156
LVA,LATVIA,4.0,9.71362102031708,12.9011914730072,9.68402963876724,16.3924145698547,60.0,5.16716080267432,96.6187204898816,20221.103686109,9.914482074967557
ESP,SPAIN,3.96,9.59509778022766,11.1936987042427,12.8869179487228,11.1590421199799,60.0,33.5697036071479,98.2984394535205,30319.4987196616,10.319546306626945
CZE,CZECH REPUBLIC,3.82,9.28333497047424,15.4084159135818,15.3112841844559,19.4025769233703,57.0,16.5781255034337,94.9367048560852,28282.2236715857,10.249988747456268
GRC,GREECE,3.7,0.527761265635491,4.55503708124161,6.26056510210037,6.5013057589531,49.0,16.3571720464949,94.8841039582543,20886.5243087629,9.946859460083736
AUS,AUSTRALIA,3.69,24.7019964456558,21.1323277950287,21.4011515378952,26.5285060405732,75.0,19.304702769358,99.323149822978,65169.5191118657,11.084747140319083
ISR,ISRAEL,3.67,10.9344754815102,13.228363931179,17.3087038993835,16.8880267143249,62.0,14.473171467517,92.9252212375394,54949.621556429,10.914172072754894
LUX,LUXEMBOURG,3.67,26.3703507184982,24.7636024951935,24.8146008253097,25.6755375862122,78.0,52.3719206492663,69.1155037619615,123719.658915996,11.72577346989249
GBR,UNITED KINGDOM,3.66,22.6819435358047,19.8050260543824,17.3370740413666,21.9311411380768,71.0,12.0471750945074,99.7632738299911,47057.043229179,10.759115830498278
FRA,FRANCE,3.58,17.6327625513077,16.54312646389,16.317133307457,16.6453325748444,71.0,32.147659835862,99.244295476517,40988.6396406579,10.62105022535698
SVN,SLOVENIA,3.57,10.7425418496132,13.6049321293831,14.963215470314,9.72921633720398,56.0,21.452945422366,99.0496614015272,28360.3041467268,10.252745705085271
LTU,LITHUANIA,3.47,10.4581369757652,14.8442791700363,13.9179624915123,18.184338092804,61.0,10.5516599679613,93.5322396656764,25085.784063499,10.130056592698534
NOR,NORWAY,3.45,28.9477920532227,24.6611710786819,27.1873061656952,21.2259531021118,84.0,12.0471750945074,99.4777714580126,109269.520580298,11.60157277507734
NZL,NEW ZEALAND,3.38,30.2859768867492,24.2351967096329,18.7655546665192,26.1127021312714,85.0,16.9228165720527,98.7523814505022,49099.7090423358,10.801608387947047
DNK,DENMARK,3.36,33.6376774311066,26.5992211103439,27.8652138710022,25.8037848472596,90.0,17.5377485405727,100.0,67781.0940939514,11.124038586871299
SWE,SWEDEN,3.2,28.8622844219207,23.6500422954559,22.0176734924317,23.5420775413513,82.0,10.6003035204811,99.6887646957821,54836.8907235124,10.91211843483171
EST,ESTONIA,3.0,21.6257694959641,19.9687113761902,18.8003635406494,21.825502872467,76.0,6.82898362551628,99.3765667926472,28340.3826549406,10.252043015444999
FIN,FINLAND,2.96,31.4568998813629,27.4139059782029,24.5679646730423,24.9081401824951,87.0,5.96212459567353,99.5301883332477,50440.560224974,10.828550896777168
ISL,ICELAND,2.87,21.945194363594,23.8415161371231,21.8838369846344,18.3021512031555,72.0,25.3705220225766,100.0,76350.4550416502,11.243089270572046
